air_temp_set_1,relative_humidity_set_1,dew_point_temperature_set_1d,road_temp_set_1,wind_speed_set_1,label
0.933333333,52.8,-7.730666667,-0.746666667,10.464,Snow
1.0,50.06666667,-8.352666667,-2.32,13.29733333,Snow
0.533333333,52.33333333,-8.212,-2.7,14.05666667,Snow
-0.066666667,52.73333333,-8.675333333,-4.326666667,13.00066667,Snow
-0.733333333,50.93333333,-9.742666667,-5.64,11.94333333,Snow
-1.0,48.53333333,-10.60533333,-6.153333333,9.463333333,Snow
-0.533333333,45.6,-10.98,-6.353333333,11.11066667,Snow
-0.6,44.06666667,-11.456,-6.566666667,12.96333333,Snow
-1.0,46.26666667,-11.208,-7.113333333,12.27533333,Snow
-2.0,48.93333333,-11.42133333,-7.846666667,10.62866667,Snow
-2.0,49.93333333,-11.16666667,-7.846666667,8.537333333,Snow
-1.533333333,47.8,-11.29066667,-7.773333333,9.26,Snow
-1.533333333,49.66666667,-10.81066667,-8.226666667,8.944666667,Snow
-1.6,49.26666667,-10.97533333,-8.42,9.074,Snow
-1.866666667,48.4,-11.43666667,-8.52,8.278,Snow
-1.4,45.8,-11.702,-7.633333333,7.612,Snow
-1.0,46.13333333,-11.24533333,-5.966666667,8.019333333,Snow
-0.466666667,45.2,-11.012,-5.84,7.092,Snow
-0.666666667,45.33333333,-11.15866667,-6.706666667,7.833333333,Snow
-1.266666667,49.6,-10.57733333,-7.04,8.907333333,Snow
-1.066666667,52.2,-9.741333333,-6.593333333,7.427333333,Snow
-2.066666667,56.93333333,-9.562,-7.08,4.575333333,Snow
-2.466666667,58.13333333,-9.683333333,-6.986666667,3.946,Snow
-1.0,48.93333333,-10.5,-6.513333333,8.148,Snow
-1.066666667,53.93333333,-9.322666667,-5.473333333,7.424666667,Snow
-2.0,58.26666667,-9.194666667,-5.42,8.259333333,Snow
-2.133333333,60.06666667,-8.930666667,-6.713333333,6.536666667,Snow
-3.0,62.4,-9.256666667,-6.78,5.462666667,Snow
-2.866666667,62.86666667,-9.032666667,-6.113333333,5.573333333,Snow
-2.933333333,62.6,-9.150666667,-5.486666667,5.112,Snow
-2.733333333,63.8,-8.716666667,-5.253333333,4.888,Snow
-2.8,66.0,-8.344666667,-5.1,4.888,Snow
-2.666666667,66.73333333,-8.071333333,-4.893333333,5.316666667,Snow
-3.0,73.0,-7.222666667,-4.406666667,7.204666667,Snow
