air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,road_temp_set_1,visibility_set_1,dew_point_temperature_set_1d,rain,wet,snow,slush,fog,blowing_snow,black_ice
-9,66.73333333,11.79533333,-14.23333333,1.24,-14.12066667,0,0,0,0,0,0,0
-9,67.93333333,10.98266667,-14.31333333,1.24,-13.902,0,0,0,0,0,0,0
-9,67.6,9.889333333,-14.42666667,1.24,-13.962,0,0,0,0,0,0,0
-9,68.06666667,9.130666667,-14.59333333,1.24,-13.878,0,0,0,0,0,0,0
-9.066666667,68.66666667,8.703333333,-14.73333333,1.24,-13.834,0,0,0,0,0,0,0
-9.533333333,69.26666667,9.427333333,-14.82666667,1.24,-14.174,0,0,0,0,0,0,0
-9,68.33333333,11.148,-14.77333333,1.24,-13.83,0,0,0,0,0,0,0
-9,67.4,11.48333333,-14.81333333,1.24,-13.99933333,0,0,0,0,0,0,0
-8.466666667,63.66666667,12.446,-14.7,1.24,-14.202,0,0,0,0,0,0,0
-8,60.93333333,12.09266667,-14.51333333,1.24,-14.29333333,0,0,0,0,0,0,0
-8,60.86666667,10.39,-14.5,1.24,-14.30666667,0,0,0,0,0,0,0
-8,61.2,11.25933333,-14.2,1.24,-14.24,0,0,0,0,0,0,0
-7.866666667,61,11.444,-14.08,1.24,-14.154,0,0,0,0,0,0,0
-7.133333333,60.8,11.61066667,-13.6,1.24,-13.5,0,0,0,0,0,0,0
-7.4,60.66666667,9.668,-13.22666667,1.24,-13.77933333,0,0,0,0,0,0,0
-7,60.6,8.26,-12.84666667,1.24,-13.414,0,0,0,0,0,0,0
-7,61.13333333,7.725333333,-12.35333333,1.24,-13.306,0,0,0,0,0,0,0
-6.2,61.06666667,8.388,-11.41333333,1.24,-12.56466667,0,0,0,0,0,0,0
-5.333333333,59.6,9.11,-10.2,1.24,-12.048,0,0,0,0,0,0,0
-4.466666667,60.26666667,9.146,-8.713333333,1.24,-11.09066667,0,0,0,0,0,0,0
-3.8,62.46666667,7.982,-6.946666667,1.24,-10.002,0,0,0,0,0,0,0
-2.733333333,62,9.277333333,-5.346666667,1.24,-9.086666667,0,0,0,0,0,0,0
-2,60.2,11.814,-4.006666667,1.24,-8.774666667,0,0,0,0,0,0,0
-1.466666667,60.13333333,11.59266667,-2.6,1.24,-8.284666667,0,0,0,0,0,0,0
-0.933333333,57.13333333,11.88666667,-1.166666667,1.24,-8.446666667,0,0,0,0,0,0,0
0,54.86666667,11.27666667,-0.3,1.24,-8.095333333,0,0,0,0,0,0,0
0.066666667,56.13333333,10.29533333,2.773333333,1.24,-7.736666667,0,0,0,0,0,0,0
0.133333333,55.73333333,9.444,2.026666667,1.24,-7.770666667,0,0,0,0,0,0,0
0.733333333,52.86666667,10.926,1.333333333,1.24,-7.916,0,0,0,0,0,0,0
1,51.86666667,8.536666667,1.193333333,1.24,-7.898,0,0,0,0,0,0,0
1,51.4,12.18466667,0.466666667,1.24,-8.024,0,0,0,0,0,0,0
0.933333333,52.8,10.464,-0.746666667,1.24,-7.730666667,0,0,0,0,0,0,0
1,50.06666667,13.29733333,-2.32,1.24,-8.352666667,0,1,0,0,0,0,0
0.533333333,52.33333333,14.05666667,-2.7,1.24,-8.212,0,1,0,0,0,0,0
-0.066666667,52.73333333,13.00066667,-4.326666667,1.24,-8.675333333,0,0,0,0,0,0,0
-0.733333333,50.93333333,11.94333333,-5.64,1.24,-9.742666667,0,0,0,0,0,0,0
-1,48.53333333,9.463333333,-6.153333333,1.24,-10.60533333,0,0,0,0,0,0,0
-0.533333333,45.6,11.11066667,-6.353333333,1.24,-10.98,0,0,0,0,0,0,0
-0.6,44.06666667,12.96333333,-6.566666667,1.24,-11.456,0,0,0,0,0,0,0
-1,46.26666667,12.27533333,-7.113333333,1.24,-11.208,0,0,0,0,0,0,0
-2,48.93333333,10.62866667,-7.846666667,1.24,-11.42133333,0,0,0,0,0,0,0
-2,49.93333333,8.537333333,-7.846666667,1.24,-11.16666667,0,0,0,0,0,0,0
-1.533333333,47.8,9.26,-7.773333333,1.24,-11.29066667,0,0,0,0,0,0,0
-1.533333333,49.66666667,8.944666667,-8.226666667,1.24,-10.81066667,0,0,0,0,0,0,0
-1.6,49.26666667,9.074,-8.42,1.24,-10.97533333,0,0,0,0,0,0,0
-1.866666667,48.4,8.278,-8.52,1.24,-11.43666667,0,0,0,0,0,0,0
-1.4,45.8,7.612,-7.633333333,1.24,-11.702,0,0,0,0,0,0,0
-1,46.13333333,8.019333333,-5.966666667,1.24,-11.24533333,0,0,0,0,0,0,0
-0.466666667,45.2,7.092,-5.84,1.24,-11.012,0,0,0,0,0,0,0
-0.666666667,45.33333333,7.833333333,-6.706666667,1.24,-11.15866667,0,0,0,0,0,0,0
-1.266666667,49.6,8.907333333,-7.04,1.24,-10.57733333,0,0,1,0,0,0,1
-1.066666667,52.2,7.427333333,-6.593333333,1.24,-9.741333333,0,0,0,0,0,0,0
-2.066666667,56.93333333,4.575333333,-7.08,1.24,-9.562,0,0,0,0,0,0,0
-2.466666667,58.13333333,3.946,-6.986666667,1.24,-9.683333333,0,0,0,0,0,0,0
-1,48.93333333,8.148,-6.513333333,1.24,-10.5,0,0,0,0,0,0,0
-1.066666667,53.93333333,7.424666667,-5.473333333,1.24,-9.322666667,0,1,1,0,0,0,0
-2,58.26666667,8.259333333,-5.42,1.24,-9.194666667,0,0,0,0,0,0,0
-2.133333333,60.06666667,6.536666667,-6.713333333,1.24,-8.930666667,0,0,0,0,0,0,0
-3,62.4,5.462666667,-6.78,1.24,-9.256666667,0,0,0,0,0,0,0
-2.866666667,62.86666667,5.573333333,-6.113333333,1.24,-9.032666667,0,0,0,0,0,0,0
-2.933333333,62.6,5.112,-5.486666667,1.24,-9.150666667,0,0,0,0,0,0,0
-2.733333333,63.8,4.888,-5.253333333,1.24,-8.716666667,0,0,0,0,0,0,0
-2.8,66,4.888,-5.1,1.24,-8.344666667,0,0,1,0,0,0,0
-2.666666667,66.73333333,5.316666667,-4.893333333,1.24,-8.071333333,0,0,1,0,0,0,0
-3,73,7.204666667,-4.406666667,1.24,-7.222666667,0,0,1,0,0,0,0
-3,80.53333333,8.464,-4.233333333,1.24,-5.922,0,0,0,0,0,0,0
-3.2,84.46666667,8.464,-3.873333333,1.24,-5.481333333,0,0,0,0,0,0,0
